Date,Text
2018-04-23 21:03:02,"Mais de 10.000 cartas, por enquanto: Cartas do povo brasileiro ao presidente #Lula! https://t.co/fvqPxFOMR8 via @lulapelobrasil"
2018-04-23 21:02:34,"O Partido dos Trabalhadores reafirma a candidatura presidencial de #Lula, na reunião do diretório nacional que aconteceu hoje em Curitiba. O sentimento de q Lula deve ser o próximo presidente n é apenas do partido e de nossa militância: é a vontade da maioria do povo brasileiro. https://t.co/OZZ5znj1Mu"
2018-04-23 20:57:36,Vc quer #Lula ? Então toma! @ptbrasil reafirma que @LulapeloBrasil é o candidato do partido na disputa pela Presidência do Brasil nas eleições de 2018. #LulaLivre  https://t.co/UwlIHrc3Je
2018-04-23 20:57:13,"O PT e sua guerra de narrativa. Querem forçar a impressão de que Lula é além do que ele realmente é: Um preso COMUM, numa cela COMUM pagando por seus crimes. #Lula #LavaJato"
2018-04-23 20:54:13,"Prisão de #Lula é um ato covarde e desumano, é uma perseguição contra um líder pacífico e humano, defendido por militantes de direitos humanos no mundo todo.
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/UzIQNShcPY"
2018-04-23 20:50:57,"Retweeted CBN (@CBNoficial):

Entre os que tiveram pedidos rejeitados estão Dilma Rousseff, ativista ganhador do Nobel da Paz e comissão externa da Câmara. #Lula #NoArNaCBN
https://t.co/uYRqJux48C"
2018-04-23 20:50:11,"Jamais gostei da expressão 'eleição sem Lula é fraude', afirma Lula #otempo #lula #livro  https://t.co/4dW61fXPML https://t.co/WZxBnARIRp"
2018-04-23 20:49:39,"Entre os que tiveram pedidos rejeitados estão Dilma Rousseff, ativista ganhador do Nobel da Paz e comissão externa da Câmara. #Lula #NoArNaCBN
https://t.co/hK1qQAV2IB"
2018-04-23 20:41:46,"@BlogDoPim Ninguém pode aceitar #Lula e corruptos soltos.
Marcação serrada!
@BlogDoPim👊👊👊👊👊"
2018-04-23 20:41:14,"@heldersalomao Hô #Lula danado!! Seu crime foi dar esperanças para um país/ povo excluído por 500 anos. Lula é preso político, julgado em um júri de excessão. #LulaLivre #LulaPresoPolitico  #LulaValeALuta"
2018-04-23 20:40:27,"O governo de #Lula foi ótimo, eu apoio esse trabalho.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/hXnKED28wx"
2018-04-23 20:37:47,"Juíza nega visita de Dilma, Ciro Gomes e deputados a Lula na prisão https://t.co/QhrIyxUC8K #CarolinaLebbos #Dilma #Lula"
2018-04-23 20:27:45,"Os programas sociais de #Lula inspiraram ações semelhantes pelo mundo.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/0k6woA2sOe"
2018-04-23 20:18:19,Justiça veta entrada de Dilma e deputados em cela de Lula - #Lula https://t.co/oY5U4giUul
2018-04-23 20:12:30,"Aécio réu é desafio para justiça e para a narrativa política
 https://t.co/y7V0yN3lfa  #aecio #lula #politica #pmdb #psdb#pt"
2018-04-23 20:04:45,#JUSTIÇA #PARTIDARIA #LULA #PRESO #POLÍTICO #PARATUDO #ANULATUDO #LULALIVRE #JÁ : Qual é o lado certo da história mesmo?! https://t.co/Fl7B4Ceo31
2018-04-23 20:04:02,"Só falta o STF gritar ""#Lula Livre"" https://t.co/YbHysv2wNS"
2018-04-23 19:49:12,"Imagens de um #Brasil fascista, um Brasil militarizado, um Brasil com Presos Políticos, um Brasil onde o #STF viola a constituição... 
#LulaValeALuta #OcupaCuritiba16odia #NobelparaLula #Lulalivre #LulaInocente #LulaPresoPolítico #LulaNobelDaPaz #Lula https://t.co/HfCzwkOAcm"
2018-04-23 19:17:39,"Quanto mais vejo quem está contra #Lula, mais o defendo.
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/kT4YSkOAVt"
2018-04-23 19:03:34,A Justiça negou uma visita de Dilma Rousseff e de deputados a #Lula na prisão https://t.co/gtRV3PI5G5 #DilmaRousseff https://t.co/IyKhVPHkci
2018-04-23 18:57:21,Não quer ir também para a 'solitária' seja honesto e não precisará se encontrar com os 'monstrinhos'.  Diferentemente de #Lula que de honesto não tem nada. https://t.co/h4A1STqGYZ
2018-04-23 18:40:31,"Em carta ao PT, #Lula se diz feliz com a pesquisa e que quer sua liberdade https://t.co/UeBScvuRWw https://t.co/xk4PzT810H"
2018-04-23 18:39:09,@calu_barros Se não me engano tem um cara até que famosinho da cut... A mesma que foi apoiar o #lula em SBC. Esse ai tb é bandido ou só pq é sindicalista ta ta tudo certo?
2018-04-23 18:13:26,"FALA LULA, TUDO BEM?
QUE EXCELENTE IMÓVEL VOCÊ TEM, ESTÁ INTERESSADO EM VENDER ESSE TRIPLEX?
APARECENDO INTERESSADOS A @tchau_aluguelSP PODE FINANCIAR E FAZER TODA DOCUMENTAÇÃO DE COMPRA

OU SE PRECISAR DE CAPITAL DE GIRO, REFINANCIAMOS ELE PARA VOCÊ KKKKK

#Lula #lulatriplex https://t.co/0ArtT2NIj9"
2018-04-23 18:01:32,"A prisão de Lula e completamente ilegal!!

Sua inocência foi provada!!

E o que vemos agora, são as denúncias de todas as ilegalidades cometidas contra #Lula se confirmando!!

As Instituições Superiores de Justiça, tem que corrigir esta Farsa Jurídica imediatamente!!

#LulaLivre https://t.co/Zrwn8VSR9C"
2018-04-23 17:57:50,Nobel da Paz é aclamado em universidade e pede liberdade para o ex-presidente #Lula https://t.co/51XGXaQOlU
2018-04-23 17:57:29,Juíza nega todos os pedidos para visitar #Lula na prisão: Imagem: Leonardo Benassatto… https://t.co/I2VCKeCwGy
2018-04-23 17:52:10,"@VemPraRua_br #ForçaJuizaCarolina!
Sem trégua para #Lula e qq outro preso da #LavaJato!
#ALei deve ser cumprida, sem #Privilégios!"
2018-04-23 17:45:07,"Sobre a prisão de quem mesmo? Ah, sim: #Lula. https://t.co/XPCHW2GVUl"
2018-04-23 17:42:13,@cartacapital Excelente artigo. Parabéns.#LULA LIVRE #LULA INOCENTE #LULA PRESO POLÍTICO
2018-04-23 17:37:04,Gleisi abusa do devaneio ao dizer que Lula é preso político e está “isolado em regime de solitária” https://t.co/vh3c6EcsyY #Lula #GleisiHoffmann #PT #corrupcao #prisao #LavaJato #Petrolao
2018-04-23 17:33:17,"Em carta ao PT, #Lula diz: 'para mim, quero minha liberdade': Imagem: Reprodução / Redes… https://t.co/KNKMNUKD39"
2018-04-23 17:02:29,"Luta pela democracia, pela redução das desigualdades sociais e contra as injustiças! #LulaLivre #LulaValeALuta #Lula https://t.co/tsSyU8WeWi"
